county,stateabbrv,avalanche,coastalflooding,coldwave,drought,earthquake,hail,heatwave,hurricane,icestorm,landslide,lightning,riverineflooding,strongwind,tornado,tsunami,volcano,wildfire,winterweather
Sarpy,NE,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively High,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Saunders,NE,Not Applicable,Not Applicable,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Scotts Bluff,NE,Not Applicable,Not Applicable,Very High,Relatively Low,Very Low,Relatively High,No Rating,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Seward,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Relatively High,Relatively Low,Not Applicable,Relatively High,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Sheridan,NE,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively Low,Very Low,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Sherman,NE,Not Applicable,Not Applicable,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Sioux,NE,Not Applicable,Not Applicable,Relatively High,Very Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Very Low,Very Low,No Rating,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Stanton,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Thayer,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Relatively High,Very Low,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Low,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Thomas,NE,Not Applicable,Not Applicable,Very Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Very Low,Very Low
Thurston,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Valley,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Washington,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Wayne,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Webster,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Relatively High,Very Low,Not Applicable,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Wheeler,NE,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Very Low,Very Low
York,NE,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Relatively High,Relatively Low,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively High
Churchill,NV,Not Applicable,Not Applicable,Very Low,Relatively High,Relatively Low,Very Low,Relatively Low,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Clark,NV,Not Applicable,Not Applicable,Very Low,Very Low,Relatively High,Relatively Moderate,Very High,Not Applicable,Not Applicable,Relatively Moderate,Relatively High,Relatively High,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively High,Very Low
Douglas,NV,Very Low,Not Applicable,No Rating,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Very Low,Relatively Moderate,Relatively Low
Elko,NV,Not Applicable,Not Applicable,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Moderate
Esmeralda,NV,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low,No Rating,Very Low,Very Low,Not Applicable,Very Low,Very Low,Very Low
Eureka,NV,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Very Low
Humboldt,NV,Not Applicable,Not Applicable,Very Low,Relatively High,Relatively Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Very Low
Lander,NV,Not Applicable,Not Applicable,Relatively Low,Relatively High,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Lincoln,NV,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Lyon,NV,Not Applicable,Not Applicable,No Rating,Relatively High,Relatively Moderate,Very Low,Relatively Low,Not Applicable,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Very Low,Very Low,Not Applicable,Very Low,Relatively Moderate,Relatively Moderate
Mineral,NV,Not Applicable,Not Applicable,Very Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Relatively Low,Very Low,Very Low
Nye,NV,Not Applicable,Not Applicable,Very Low,Very Low,Relatively Low,Very Low,Relatively High,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Pershing,NV,Not Applicable,Not Applicable,Very Low,Relatively High,Very Low,Very Low,Very Low,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Storey,NV,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Very Low
Washoe,NV,Very Low,Not Applicable,Very Low,Relatively Moderate,Relatively High,Very Low,Relatively Low,Not Applicable,Relatively Moderate,Relatively Moderate,Relatively Moderate,Very High,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Low
White Pine,NV,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Carson City,NV,Very Low,Not Applicable,No Rating,Very Low,Relatively Moderate,Very Low,Relatively Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Belknap,NH,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,Very Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Carroll,NH,Not Applicable,Not Applicable,Relatively Moderate,No Rating,Very Low,Very Low,Very Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Cheshire,NH,Not Applicable,Not Applicable,Relatively Moderate,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Coos,NH,Relatively Low,Not Applicable,Relatively High,No Rating,Very Low,Very Low,No Rating,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Very Low,Very Low
Grafton,NH,Not Applicable,Not Applicable,Relatively Moderate,No Rating,Very Low,Very Low,No Rating,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Hillsborough,NH,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Very High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Merrimack,NH,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Rockingham,NH,Not Applicable,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Relatively Moderate
Strafford,NH,Not Applicable,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Insufficient Data,Not Applicable,Very Low,Relatively Low
Sullivan,NH,Not Applicable,Not Applicable,Relatively Low,No Rating,Very Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Atlantic,NJ,Not Applicable,Very High,No Rating,Relatively Moderate,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Low,Relatively Low,Relatively High,Relatively High,Relatively High,Relatively Low,Insufficient Data,Not Applicable,Relatively Moderate,Relatively Moderate
Bergen,NJ,Not Applicable,Very High,Very Low,Very Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively High,Relatively High,Very High,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Relatively High
Burlington,NJ,Not Applicable,Relatively Moderate,No Rating,Relatively Low,Relatively Low,Very Low,Relatively High,Relatively Moderate,Relatively High,Relatively Low,Relatively High,Relatively High,Very High,Relatively Moderate,Insufficient Data,Not Applicable,Relatively Moderate,Relatively High
Camden,NJ,Not Applicable,Relatively Moderate,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively High,Relatively Low,Relatively Moderate,Relatively High,Relatively High,Relatively Moderate,Insufficient Data,Not Applicable,Relatively Moderate,Relatively High
Cape May,NJ,Not Applicable,Very High,No Rating,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Low,Insufficient Data,Not Applicable,Relatively Moderate,Relatively Moderate
Cumberland,NJ,Not Applicable,Relatively High,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Low,Insufficient Data,Not Applicable,Relatively Moderate,Relatively Moderate
Essex,NJ,Not Applicable,Relatively Moderate,No Rating,Very Low,Relatively Low,Very Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Very High,Relatively High,Insufficient Data,Not Applicable,Very Low,Relatively High
Gloucester,NJ,Not Applicable,Relatively Moderate,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Moderate,Insufficient Data,Not Applicable,Relatively Low,Relatively Moderate
Hudson,NJ,Not Applicable,Very High,No Rating,Very Low,Relatively Low,Very Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively High,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Relatively High
Hunterdon,NJ,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Very High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Mercer,NJ,Not Applicable,Relatively Moderate,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Very High,Relatively Moderate,Insufficient Data,Not Applicable,Relatively Low,Relatively High
Middlesex,NJ,Not Applicable,Relatively High,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Moderate,Relatively High,Very High,Relatively High,Insufficient Data,Not Applicable,Relatively Low,Relatively High
Monmouth,NJ,Not Applicable,Very High,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively High,Very High,Relatively Moderate,Relatively High,Relatively Moderate,Very High,Relatively Low,Insufficient Data,Not Applicable,Relatively Moderate,Relatively High
Morris,NJ,Not Applicable,Not Applicable,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Very High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Ocean,NJ,Not Applicable,Very High,No Rating,Relatively Low,Relatively Low,Very Low,Relatively High,Relatively Moderate,Very High,Relatively Low,Relatively High,Relatively High,Very High,Relatively Low,Insufficient Data,Not Applicable,Relatively Moderate,Relatively High
Passaic,NJ,Not Applicable,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Moderate,Very High,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Very High
Salem,NJ,Not Applicable,Relatively High,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Low,Insufficient Data,Not Applicable,Relatively Low,Relatively Moderate
Somerset,NJ,Not Applicable,Very Low,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Very High,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Relatively Moderate
Sussex,NJ,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Union,NJ,Not Applicable,Relatively High,No Rating,Very Low,Relatively Low,Very Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively High,Relatively High,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Relatively Moderate
Warren,NJ,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively High
Bernalillo,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,No Rating,Not Applicable,Relatively Low,Relatively Moderate,Relatively High,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Catron,NM,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Very Low
Chaves,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Very Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Very High
Cibola,NM,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,No Rating,Not Applicable,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Colfax,NM,Very Low,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Moderate
Curry,NM,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,No Rating,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Very High
De Baca,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Doña Ana,NM,Not Applicable,Not Applicable,No Rating,Relatively High,Relatively Moderate,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Eddy,NM,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively High
Grant,NM,Not Applicable,Not Applicable,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Guadalupe,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Harding,NM,Not Applicable,Not Applicable,Relatively Low,Very Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Very Low,Very Low
Hidalgo,NM,Not Applicable,Not Applicable,Very Low,Relatively Moderate,Very Low,Very Low,Very Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Lea,NM,Not Applicable,Not Applicable,Relatively High,Relatively Low,Very Low,Relatively High,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively High,Relatively High,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively High,Very High
Lincoln,NM,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Low
Los Alamos,NM,Not Applicable,Not Applicable,Relatively Low,No Rating,Relatively Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Luna,NM,Not Applicable,Not Applicable,No Rating,Relatively High,Relatively Low,Very Low,No Rating,Very Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
McKinley,NM,Not Applicable,Not Applicable,Relatively High,No Rating,Very Low,Very Low,Very Low,Not Applicable,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Mora,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Otero,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Moderate
Quay,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Rio Arriba,NM,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate,Relatively Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Relatively High,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate
Roosevelt,NM,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Relatively High,Relatively High
Sandoval,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,No Rating,Not Applicable,Very Low,Relatively Low,Relatively High,Relatively High,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
San Juan,NM,Not Applicable,Not Applicable,Relatively Low,Relatively High,Very Low,Very Low,Relatively Low,Not Applicable,Very Low,Relatively Moderate,Relatively High,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
San Miguel,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate
Santa Fe,NM,Not Applicable,Not Applicable,Relatively High,Relatively Moderate,Relatively Low,Relatively Low,No Rating,Not Applicable,Very Low,Relatively Low,Relatively High,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Very Low
Sierra,NM,Not Applicable,Not Applicable,Very Low,Relatively Moderate,Very Low,Very Low,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Socorro,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Taos,NM,Relatively Low,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,No Rating,Not Applicable,Very Low,Relatively Moderate,Relatively Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Moderate
Torrance,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Relatively Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Union,NM,Not Applicable,Not Applicable,Relatively Low,Relatively Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Valencia,NM,Not Applicable,Not Applicable,Very Low,Relatively Low,Relatively Low,Relatively Moderate,No Rating,Not Applicable,Very Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Albany,NY,Not Applicable,Relatively Low,Relatively High,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Relatively Low
Allegany,NY,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Bronx,NY,Not Applicable,Relatively High,Very Low,No Rating,Relatively Low,Relatively Low,Relatively High,Relatively High,Relatively High,Relatively High,Relatively Moderate,Relatively High,Very High,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Relatively Moderate
Broome,NY,Not Applicable,Not Applicable,Relatively Moderate,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively High,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Cattaraugus,NY,Not Applicable,Not Applicable,Relatively High,No Rating,Very Low,Very Low,No Rating,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Cayuga,NY,Not Applicable,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Insufficient Data,Not Applicable,Very Low,Relatively Low
Chautauqua,NY,Not Applicable,Very Low,Relatively High,No Rating,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Insufficient Data,Not Applicable,Very Low,Relatively Low
Chemung,NY,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Chenango,NY,Not Applicable,Not Applicable,Relatively Moderate,No Rating,Very Low,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively High,Very Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Clinton,NY,Not Applicable,Not Applicable,Relatively Low,No Rating,Relatively Low,Very Low,Very Low,Very Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
